Team,W,L,Pct,W,L,Pct,Off,Def,SRS,SOS,Rk AP Curr,Rk AP Pre,Rk AP High,Notes
Georgia,11,3,.786,7,1,.875,37.9,19.2,20.69,6.33,7,3,2,
Florida,10,3,.769,5,3,.625,35.0,20.0,13.66,4.04,7,,7,
Kentucky,10,3,.769,5,3,.625,26.6,16.8,12.06,4.37,12,,11,
Missouri,8,5,.615,4,4,.500,36.6,25.5,13.14,5.75,,,24,
South Carolina,7,6,.538,4,4,.500,30.1,27.2,7.34,5.88,,,24,
Vanderbilt,6,7,.462,3,5,.375,28.5,26.6,6.25,5.09,,,,
Tennessee,5,7,.417,2,6,.250,22.8,27.9,0.39,6.05,,,,
Alabama,14,1,.933,8,0,1.000,45.6,18.1,25.29,6.63,2,1,1,
Louisiana State,10,3,.769,5,3,.625,32.4,21.8,15.20,5.67,6,25,4,
Texas A&M,9,4,.692,5,3,.625,36.0,25.3,13.61,7.15,16,,16,
Mississippi State,8,5,.615,4,4,.500,28.5,13.2,13.24,5.93,,18,14,
Auburn,8,5,.615,3,5,.375,30.9,19.2,10.76,5.60,,9,7,
Mississippi,5,7,.417,1,7,.125,33.9,36.2,2.81,4.39,,,,
Arkansas,2,10,.167,0,8,.000,21.7,34.8,-4.63,4.96,,,,
Oklahoma,12,2,.857,9,1,.900,48.4,33.3,18.06,6.14,4,7,4,
Texas,10,4,.714,7,3,.700,31.1,25.9,11.15,6.30,9,23,6,
Iowa State,8,5,.615,6,3,.667,26.8,22.9,7.78,4.01,,,18,
West Virginia,8,4,.667,6,3,.667,40.3,27.2,12.60,3.85,20,17,6,
Baylor,7,6,.538,4,5,.444,29.5,31.7,3.25,3.02,,,,
Texas Christian,7,6,.538,4,5,.444,23.5,23.1,3.88,4.34,,16,15,
Oklahoma State,7,6,.538,3,6,.333,38.4,32.5,6.82,3.67,,,15,
Kansas State,5,7,.417,3,6,.333,22.5,25.4,1.39,3.47,,,,
Texas Tech,5,7,.417,3,6,.333,37.3,31.1,5.09,3.76,,,25,
Kansas,3,9,.250,1,8,.111,23.8,30.0,-4.86,2.14,,,,
Ohio State,13,1,.929,8,1,.889,42.4,25.5,17.74,4.10,3,5,2,
Michigan,10,3,.769,8,1,.889,35.2,19.4,16.47,5.47,14,14,4,
Penn State,9,4,.692,6,3,.667,33.8,20.5,12.32,4.86,17,10,8,
Michigan State,7,6,.538,5,4,.556,18.7,17.2,6.01,5.08,,11,11,
Maryland,5,7,.417,3,6,.333,28.5,28.7,2.88,4.63,,,,
Indiana,5,7,.417,2,7,.222,26.4,29.9,2.44,5.61,,,,
Rutgers,1,11,.083,0,9,.000,13.5,31.4,-9.65,4.10,,,,
Northwestern,9,5,.643,8,1,.889,24.2,23.2,7.51,5.94,21,,20,
Iowa,9,4,.692,5,4,.556,31.2,17.8,13.14,3.29,25,,18,
Wisconsin,8,5,.615,5,4,.556,29.7,22.6,7.68,2.60,,4,4,
Purdue,6,7,.462,5,4,.556,30.5,30.0,7.04,6.51,,,,
Minnesota,7,6,.538,3,6,.333,28.9,26.5,5.28,4.05,,,,
Nebraska,4,8,.333,3,6,.333,30.0,31.3,3.48,4.82,,,,
Illinois,4,8,.333,2,7,.222,26.0,39.4,-6.05,0.79,,,,
Clemson,15,0,1.000,8,0,1.000,44.3,13.1,26.45,5.19,1,2,1,
Syracuse,10,3,.769,6,2,.750,40.2,27.0,12.14,1.30,15,,12,
North Carolina State,9,4,.692,5,3,.625,33.8,24.9,6.80,0.49,,,16,
Boston College,7,5,.583,4,4,.500,32.0,25.7,4.61,1.78,,,17,
Wake Forest,7,6,.538,3,5,.375,32.8,33.3,2.41,2.41,,,,
Florida State,5,7,.417,3,5,.375,21.9,31.5,-1.67,4.92,,19,19,
Louisville,2,10,.167,0,8,.000,19.8,44.1,-9.84,5.41,,,,
Pittsburgh,7,7,.500,6,2,.750,25.6,27.8,5.70,6.55,,,24,
Georgia Tech,7,6,.538,5,3,.625,33.6,29.3,2.76,1.76,,,,
Virginia,8,5,.615,4,4,.500,28.5,20.1,7.11,-0.04,,,23,
Miami (FL),7,6,.538,4,4,.500,28.8,19.5,6.58,1.73,,8,8,
Virginia Tech,6,7,.462,4,4,.500,29.8,31.0,-0.37,1.55,,20,12,
Duke,8,5,.615,3,5,.375,29.4,27.4,6.37,3.60,,,22,
North Carolina,2,9,.182,1,7,.125,27.4,34.5,-4.75,1.70,,,,
Washington State,11,2,.846,7,2,.778,37.5,23.3,12.19,-0.04,10,,7,
Washington,10,4,.714,7,2,.778,26.4,16.4,11.42,3.70,13,6,6,
Stanford,9,4,.692,6,3,.667,28.4,22.9,7.71,2.87,,13,7,
Oregon,9,4,.692,5,4,.556,34.8,25.4,6.67,-0.49,,24,12,
California,7,6,.538,4,5,.444,21.5,20.4,1.67,0.67,,,24,
Oregon State,2,10,.167,1,8,.111,26.1,45.7,-10.86,3.56,,,,
Utah,9,5,.643,6,3,.667,28.1,19.4,9.91,3.06,,,16,
Arizona State,7,6,.538,5,4,.556,29.9,25.5,5.37,1.67,,,23,
Arizona,5,7,.417,4,5,.444,31.3,32.6,-0.57,0.76,,,,
Southern California,5,7,.417,4,5,.444,26.1,27.0,2.22,3.39,,15,15,
UCLA,3,9,.250,3,6,.333,24.6,34.1,-2.19,6.73,,,,
Colorado,5,7,.417,2,7,.222,27.1,27.3,-1.17,0.08,,,19,
Massachusetts,4,8,.333,1,1,.500,32.8,42.9,-11.06,-2.81,,,,
New Mexico State,3,9,.250,1,2,.333,25.3,41.3,-17.59,-5.84,,,,
Liberty,6,6,.500,1,3,.250,33.3,36.8,-9.12,-6.62,,,,
Army,11,2,.846,1,0,1.000,32.8,17.7,7.27,-3.81,19,,19,
Brigham Young,7,6,.538,2,0,1.000,27.2,21.4,3.07,-0.94,,,20,
Notre Dame,12,1,.923,0,0,,31.4,18.2,17.40,5.17,5,12,3,
Central Florida,12,1,.923,8,0,1.000,43.2,22.7,14.53,-2.78,11,21,7,
Temple,8,5,.615,7,1,.875,34.9,27.1,1.78,-2.60,,,,
Cincinnati,11,2,.846,6,2,.750,34.9,17.2,7.15,-3.93,24,,19,
South Florida,7,6,.538,3,5,.375,28.5,32.0,-6.28,-3.74,,,21,
East Carolina,3,9,.250,1,7,.125,22.8,37.3,-11.08,-2.41,,,,
Connecticut,1,11,.083,0,8,.000,22.2,50.4,-18.99,-1.32,,,,
Houston,8,5,.615,5,3,.625,43.9,37.2,1.18,-4.82,,,17,
Memphis,8,6,.571,5,3,.625,42.9,31.9,2.27,-3.88,,,,
Tulane,7,6,.538,5,3,.625,26.8,27.5,-0.86,-2.17,,,,
Southern Methodist,5,7,.417,4,4,.500,30.4,35.3,-5.38,-0.80,,,,
Navy,3,10,.231,2,6,.250,25.0,33.5,-7.09,0.68,,,,
Tulsa,3,9,.250,2,6,.250,24.1,29.6,-9.74,-3.74,,,,
Utah State,11,2,.846,7,1,.875,47.5,22.2,9.58,-5.88,22,,14,
Boise State,10,3,.769,7,1,.875,35.4,22.1,8.69,-0.46,23,22,17,
Wyoming,6,6,.500,4,4,.500,20.7,22.0,-3.45,-2.12,,,,
Air Force,5,7,.417,3,5,.375,30.3,25.8,-1.72,-3.80,,,,
Colorado State,3,9,.250,2,6,.250,22.8,36.8,-12.74,-2.49,,,,
New Mexico,3,9,.250,1,7,.125,26.6,36.2,-11.30,-3.21,,,,
Fresno State,12,2,.857,7,1,.875,34.6,14.1,12.32,-3.04,18,,16,
Nevada,8,5,.615,5,3,.625,31.1,26.9,-1.62,-3.78,,,,
Hawaii,8,6,.571,5,3,.625,30.8,35.1,-6.13,-4.41,,,,
San Diego State,7,6,.538,4,4,.500,20.6,22.2,-3.32,-1.94,,,,
Nevada-Las Vegas,4,8,.333,2,6,.250,28.8,37.3,-9.98,-4.48,,,,
San Jose State,1,11,.083,1,7,.125,21.3,36.6,-12.93,-0.68,,,,
Appalachian State,11,2,.846,7,1,.875,37.3,15.5,9.76,-4.78,,,25,
Troy,10,3,.769,7,1,.875,30.7,22.0,3.05,-4.64,,,,
Georgia Southern,10,3,.769,6,2,.750,30.5,21.5,3.80,-5.05,,,,
Coastal Carolina,5,7,.417,2,6,.250,26.7,33.2,-9.17,-3.25,,,,
Georgia State,2,10,.167,1,7,.125,23.9,37.4,-14.41,-2.41,,,,
Arkansas State,8,5,.615,5,3,.625,30.3,25.6,0.92,-4.69,,,,
Louisiana,7,7,.500,5,3,.625,31.9,34.2,-2.46,-2.32,,,,
Louisiana-Monroe,6,6,.500,4,4,.500,26.6,31.8,-5.50,-4.42,,,,
South Alabama,3,9,.250,2,6,.250,24.2,38.8,-13.56,-2.39,,,,
Texas State,3,9,.250,1,7,.125,19.8,27.7,-14.50,-6.75,,,,
Buffalo,10,4,.714,7,1,.875,34.6,25.9,1.57,-5.29,,,,
Ohio,9,4,.692,6,2,.750,40.1,24.6,4.51,-5.95,,,,
Miami (OH),6,6,.500,6,2,.750,28.1,25.5,-0.73,-2.73,,,,
Akron,4,8,.333,2,6,.250,18.9,27.2,-11.66,-3.33,,,,
Bowling Green State,3,9,.250,2,6,.250,24.3,40.0,-15.11,-4.11,,,,
Kent State,2,10,.167,1,7,.125,23.9,36.7,-15.05,-3.64,,,,
Northern Illinois,8,6,.571,6,2,.750,20.1,22.6,-1.92,-0.92,,,,
Eastern Michigan,7,6,.538,5,3,.625,27.0,22.1,-1.16,-4.85,,,,
Toledo,7,6,.538,5,3,.625,40.4,30.5,-0.70,-5.00,,,,
Western Michigan,7,6,.538,5,3,.625,32.0,34.5,-4.92,-3.31,,,,
Ball State,4,8,.333,3,5,.375,24.2,32.4,-10.49,-4.08,,,,
Central Michigan,1,11,.083,0,8,.000,15.0,27.3,-15.76,-4.18,,,,
Middle Tennessee State,8,6,.571,7,1,.875,28.0,26.7,0.65,-1.85,,,,
Florida International,9,4,.692,6,2,.750,34.6,25.2,-0.53,-7.15,,,,
Marshall,9,4,.692,6,2,.750,28.2,21.8,0.69,-5.92,,,,
Charlotte,5,7,.417,4,4,.500,21.7,26.6,-7.33,-4.24,,,,
Florida Atlantic,5,7,.417,3,5,.375,31.1,31.8,-2.73,-2.15,,,,
Old Dominion,4,8,.333,2,6,.250,30.8,35.9,-12.87,-6.79,,,,
Western Kentucky,3,9,.250,2,6,.250,21.1,27.8,-14.11,-6.78,,,,
Alabama-Birmingham,11,3,.786,7,1,.875,29.9,17.0,1.99,-6.44,,,,
Louisiana Tech,8,5,.615,5,3,.625,24.7,23.0,-4.78,-6.70,,,,
North Texas,9,4,.692,5,3,.625,34.6,24.2,0.58,-8.42,,,,
Southern Mississippi,6,5,.545,5,3,.625,26.2,19.8,-4.18,-7.36,,,,
Texas-San Antonio,3,9,.250,2,6,.250,14.2,31.2,-16.40,-4.40,,,,
Rice,2,11,.154,1,7,.125,18.9,36.0,-19.18,-5.03,,,,
Texas-El Paso,1,11,.083,1,7,.125,17.7,32.8,-22.88,-8.46,,,,
